SEZCENS;ZONASTAT;NCIRCO;SUPERF
2110;53;2;7155.67
2111;53;2;6786.25
2112;53;2;6120.97
2113;53;2;6941.13
2114;53;2;19799.76
2115;53;2;9746.55
2116;53;2;9936.2
2117;53;2;7605.08
2118;53;2;41597.61
2119;53;2;9333.78
2120;53;2;8530.78
2121;53;2;8387.41
2122;53;2;8632.21
2123;53;2;13495.72
2124;53;2;7501.08
2125;53;2;8760.41
2126;53;2;10267.08
2127;53;2;8453.34
2128;53;2;10936.86
2129;53;2;7327.84
2130;53;2;9612.36
2132;53;2;15681.58
2133;53;2;6642.05
2134;53;2;10075.06
2135;53;2;8836.32
2136;53;2;11284.2
2137;53;2;13511.33
2138;53;2;22477.17
2139;53;2;12816.26
1325;30;4;6566.36
1326;30;4;10940.64
1327;30;4;10687.25
1328;30;4;10138.3
1329;30;4;6953.36
1330;30;4;6918.16
1331;30;4;7803.96
1332;30;4;10809.91
1333;30;4;16048.68
1334;30;4;12940.2
1335;30;4;15961.52
1336;30;4;14075.73
1337;30;4;10760.12
1338;30;4;9255.43
1339;30;4;12693.43
1340;30;4;12153.35
1341;30;4;21978.42
1342;30;4;7194.41
1343;30;4;4772.43
1344;30;4;13772.37
1345;30;4;14793.41
1346;30;4;13860.71
1347;30;4;15209.31
1348;30;4;16477.86
1349;30;4;15014.23
1350;30;4;118900.4
1351;30;4;53429.04
1352;30;4;14252.89
1353;30;4;15578.28
1354;30;4;11953.72
1355;31;3;11853.04
1356;31;3;15910.66
1357;31;3;8118.53
1358;31;3;17474.27
1360;31;3;14096.07
1361;31;3;8126.32
1362;31;3;8702.93
1363;31;3;13613.62
1364;31;3;14202.8
1365;31;3;27368.17
1366;31;3;37617.39
1367;31;3;4580.97
1368;31;3;9593.75
1369;31;3;8570.56
1370;31;3;7175.59
1371;31;3;43421.28
1372;31;3;10192.48
1373;32;3;7362.85
1374;32;3;15636.36
1375;32;3;16883.97
1376;32;3;11314.46
1377;32;3;26436.35
1378;32;3;12586.55
1379;32;3;7718.49
1380;32;3;5830.08
1381;32;3;9912.78
1382;32;3;6107.89
1383;32;3;9056.7
1384;32;3;5150.97
1385;32;3;15793.21
1386;32;3;8523.85
1387;32;3;18838.25
1388;32;3;7036.79
1389;32;3;29769.13
1390;32;3;46959.07
1391;32;3;20897.13
1392;32;3;54451.57
1393;32;3;27181.15
1394;32;3;28218.05
1395;32;3;18907.69
1396;32;3;42941.04
1397;32;3;9323.62
1398;32;3;6095.67
1399;32;3;7783.28
1400;32;3;5658.4
1401;32;3;11465.36
1402;32;3;7894.58
1403;32;3;6948.49
1404;32;3;15312.03
1405;32;3;18681.52
1406;32;3;11808.67
1407;32;3;10792.29
1408;32;3;8606.35
1409;32;3;9475.76
1410;32;3;9870.68
1411;32;3;12654.66
1412;32;3;12779.28
1413;32;3;9241.01
1414;32;3;7731.92
1415;32;3;12020.11
1416;32;3;6611.82
1417;32;3;10137.82
1418;32;3;8031.89
1419;32;3;14505.88
1420;32;3;9409.42
1421;32;3;13071.1
1422;33;3;11716.13
1423;33;3;19992.28
1425;33;3;24252.64
1426;33;3;19503.83
1427;33;3;7758.11
1428;33;3;7581.53
1429;33;3;7392.2
1430;33;3;5102.64
1431;33;3;17100.64
1432;33;3;12855.51
1434;33;3;7790.66
1435;33;3;6402.06
1436;33;3;8207.8
1437;33;3;5822.11
1438;33;3;7472.09
1439;33;3;5803.84
1440;33;3;6405.03
1441;33;3;5214.47
1442;33;3;12485.52
1443;33;3;13527.46
1444;33;3;41812.75
1445;33;3;12373.2
1446;33;3;12258.82
1447;33;3;15751.36
1448;33;3;8937.76
1449;33;3;5200.44
1450;33;3;5247.06
1451;33;3;12722.88
1452;33;3;6887.85
1453;33;3;7318.93
1454;33;3;9763.23
1455;33;3;19454.6
1457;33;3;4237.89
1458;33;3;3139.61
1459;33;3;6664.31
1460;33;3;7037.75
1461;33;3;7482.01
1462;33;3;7495.03
