COMUNE;SEZ2011;P1;P61;E17;E18;E19;E20
Milano;151460000527;60;28;0;0;0;1
Milano;151460000528;63;32;0;0;0;1
Milano;151460000529;10;5;0;2;0;0
Milano;151460000530;35;7;0;0;1;0
Milano;151460000531;66;30;0;0;0;6
Milano;151460000532;0;0;0;0;0;0
Milano;151460000533;90;50;0;0;0;4
Milano;151460000534;60;29;0;0;3;4
Milano;151460000535;123;53;0;0;1;6
Milano;151460000536;91;45;0;0;0;6
Milano;151460000537;205;90;1;0;1;10
Milano;151460000538;195;92;0;0;0;12
Milano;151460000539;180;76;0;1;0;7
Milano;151460000540;186;91;2;1;0;13
Milano;151460000541;76;36;0;0;0;4
Milano;151460000542;161;79;0;0;0;11
Milano;151460000543;266;137;0;2;0;16
Milano;151460000544;0;0;0;0;0;0
Milano;151460000545;316;144;1;1;0;17
Milano;151460000546;94;40;0;1;0;5
Milano;151460000547;103;42;1;1;3;1
Milano;151460000548;3;2;0;1;0;0
Milano;151460000549;0;0;0;0;0;0
Milano;151460000550;145;66;0;0;0;6
Milano;151460000551;63;56;0;0;1;0
Milano;151460000552;185;86;0;1;0;6
Milano;151460000553;166;85;0;2;1;7
Milano;151460000554;146;51;0;1;3;5
Milano;151460000555;91;57;1;0;1;5
Milano;151460000556;105;61;0;2;2;6
Milano;151460000557;332;161;0;0;0;15
Milano;151460000558;258;129;0;1;0;12
Milano;151460000559;188;92;0;0;4;11
Milano;151460000560;302;150;0;1;0;2
Milano;151460000561;26;15;0;1;1;3
Milano;151460000562;364;182;2;0;1;5
Milano;151460000563;19;10;0;0;0;1
Milano;151460000564;229;108;0;2;1;12
Milano;151460000565;172;84;0;0;0;6
Milano;151460000566;179;93;0;1;1;10
Milano;151460000567;337;146;3;0;0;15
Milano;151460000568;184;95;2;0;0;12
Milano;151460000569;120;59;0;0;0;3
Milano;151460000570;276;125;0;1;0;8
Milano;151460000571;255;120;2;2;0;9
Milano;151460000572;306;140;0;2;4;15
Milano;151460000573;119;51;0;0;0;8
Milano;151460000574;18;3;0;2;1;0
Milano;151460000575;222;107;1;0;0;4
Milano;151460000576;143;67;2;0;0;4
Milano;151460000577;292;126;0;2;0;10
Milano;151460000578;132;61;0;0;0;4
Milano;151460000579;325;139;0;0;0;10
Milano;151460000580;223;95;1;0;0;8
Milano;151460000581;162;83;4;0;1;10
Milano;151460000582;88;47;0;0;1;1
Milano;151460000583;279;146;0;0;1;4
Milano;151460000584;315;156;0;0;0;14
Milano;151460000585;36;5;0;1;0;0
Milano;151460000586;38;13;0;1;0;0
Milano;151460000587;357;156;1;0;0;10
Milano;151460000588;359;156;0;0;3;12
Milano;151460000589;395;171;0;0;0;8
Milano;151460000590;297;128;1;0;1;13
Milano;151460000591;96;45;0;0;0;3
Milano;151460000592;302;109;0;0;0;7
Milano;151460000593;207;102;0;0;2;9
Milano;151460000594;107;51;1;0;1;1
Milano;151460000595;144;66;0;0;2;7
Milano;151460000596;268;112;0;0;0;7
Milano;151460000597;290;117;0;0;0;4
Milano;151460000598;212;96;0;0;0;7
Milano;151460000599;80;36;0;0;0;2
Milano;151460000600;85;32;0;0;0;3
Milano;151460000601;280;126;0;0;0;11
Milano;151460000602;258;107;0;0;0;6
