SEZ2011;COMUNE;P1;P61;E17;E18;E19;E20;NIL
151460000231;Milano;2;2;0;1;0;0;DUOMO
151460000232;Milano;176;84;0;0;0;1;DUOMO
151460000233;Milano;26;18;0;0;0;1;DUOMO
151460000234;Milano;84;31;0;0;0;1;-
151460000235;Milano;104;42;0;0;0;2;DUOMO
151460000236;Milano;60;34;0;0;2;5;DUOMO
151460000237;Milano;154;74;0;0;1;6;DUOMO
151460000238;Milano;242;127;1;0;1;8;DUOMO
151460000239;Milano;39;18;0;0;2;4;DUOMO
151460000240;Milano;162;84;0;0;3;5;-
151460000241;Milano;141;68;0;0;1;13;DUOMO
151460000242;Milano;70;33;0;0;0;3;-
151460000243;Milano;47;36;0;0;2;0;DUOMO
151460000244;Milano;80;45;1;0;1;5;DUOMO
151460000245;Milano;69;29;0;0;0;8;DUOMO
151460000246;Milano;3;3;0;0;1;0;DUOMO
151460000247;Milano;8;7;0;1;0;0;DUOMO
151460000248;Milano;0;0;0;0;0;0;DUOMO
151460000249;Milano;41;20;1;0;0;5;DUOMO
151460000250;Milano;125;61;0;0;1;8;DUOMO
151460000251;Milano;78;44;0;0;2;5;-
151460000252;Milano;275;129;3;0;2;11;DUOMO
151460000253;Milano;59;28;0;0;0;5;DUOMO
151460000254;Milano;210;97;0;0;4;8;DUOMO
151460000255;Milano;47;26;0;0;0;1;DUOMO
151460000256;Milano;14;10;0;0;1;2;DUOMO
151460000257;Milano;36;22;1;1;0;4;DUOMO
151460000258;Milano;122;59;0;0;2;7;DUOMO
151460000259;Milano;51;25;0;0;1;6;DUOMO
151460000260;Milano;62;21;1;0;0;4;DUOMO
151460000261;Milano;69;35;0;1;1;9;-
151460000262;Milano;54;27;1;0;0;5;DUOMO
151460000263;Milano;121;48;0;0;4;4;DUOMO
151460000264;Milano;491;178;1;0;0;4;DUOMO
151460000265;Milano;44;24;0;0;0;4;DUOMO
151460000266;Milano;54;22;0;0;0;3;-
151460000267;Milano;336;167;0;0;1;18;DUOMO
151460000268;Milano;26;13;0;0;0;1;DUOMO
151460000269;Milano;137;73;0;0;0;11;DUOMO
151460000270;Milano;153;79;0;0;0;10;DUOMO
151460000271;Milano;131;50;0;1;4;5;DUOMO
151460000272;Milano;466;213;0;1;6;11;DUOMO
151460000273;Milano;5;3;0;0;0;2;DUOMO
151460000274;Milano;1;1;0;1;0;0;DUOMO
151460000275;Milano;0;0;0;0;0;0;BRERA
151460000276;Milano;73;34;0;0;2;6;DUOMO
151460000277;Milano;120;34;0;0;1;5;DUOMO
151460000278;Milano;289;125;0;0;0;9;DUOMO
151460000279;Milano;76;38;1;0;0;5;DUOMO
151460000280;Milano;51;22;0;0;0;1;DUOMO
151460000281;Milano;355;188;0;0;3;22;DUOMO
151460000282;Milano;90;42;0;0;0;6;DUOMO
151460000283;Milano;229;117;0;0;0;10;DUOMO
151460000284;Milano;183;101;0;1;0;10;DUOMO
151460000285;Milano;378;216;0;1;4;23;DUOMO
151460000286;Milano;84;44;0;0;1;4;DUOMO
151460000287;Milano;70;29;0;0;0;4;DUOMO
151460000288;Milano;39;16;0;0;1;4;DUOMO
151460000289;Milano;176;109;0;2;8;6;TICINESE
151460000290;Milano;219;101;1;0;1;10;TICINESE
151460000291;Milano;23;11;0;1;1;0;TICINESE
151460000292;Milano;89;38;0;0;0;1;TICINESE
151460000293;Milano;242;112;1;0;0;11;TICINESE
151460000294;Milano;160;77;0;0;0;5;TICINESE
151460000295;Milano;284;132;1;1;1;10;TICINESE
151460000296;Milano;213;105;1;0;0;9;TICINESE
151460000297;Milano;309;130;2;0;0;10;TICINESE
151460000298;Milano;173;67;0;0;0;4;TICINESE
151460000299;Milano;63;28;0;0;0;2;TICINESE
151460000300;Milano;196;100;0;1;0;7;TICINESE
151460000301;Milano;229;103;0;0;0;7;TICINESE
151460000302;Milano;250;111;1;1;0;8;TICINESE
151460000303;Milano;212;101;0;0;2;5;TICINESE
151460000304;Milano;299;109;0;0;9;1;TICINESE
151460000305;Milano;398;182;1;0;1;10;TICINESE
151460000306;Milano;191;77;0;0;2;4;TICINESE
151460000307;Milano;286;152;2;3;3;9;TICINESE
151460000308;Milano;345;150;0;0;0;8;TICINESE
151460000309;Milano;199;122;1;2;9;7;TICINESE
151460000310;Milano;180;89;0;1;1;6;TICINESE
151460000311;Milano;15;8;4;0;0;1;TICINESE
151460000312;Milano;94;57;0;0;2;2;TICINESE
151460000313;Milano;0;0;0;0;0;0;TICINESE
151460000314;Milano;189;111;1;0;0;7;TICINESE
151460000315;Milano;159;108;0;0;0;5;TICINESE
151460000316;Milano;147;84;0;0;0;7;TICINESE
151460000317;Milano;124;61;0;0;0;3;TICINESE
151460000318;Milano;187;100;0;0;0;5;TICINESE
151460000319;Milano;252;145;0;1;0;7;TICINESE
151460000320;Milano;64;37;0;0;0;4;TICINESE
151460000321;Milano;141;74;0;0;0;6;TICINESE
151460000322;Milano;159;84;0;0;1;5;TICINESE
151460000323;Milano;190;100;0;0;0;5;TICINESE
151460000324;Milano;180;91;0;0;0;5;TICINESE
151460000325;Milano;330;162;0;2;0;10;TICINESE
151460000326;Milano;94;41;0;0;0;4;TICINESE
151460000327;Milano;88;41;0;0;0;6;MAGENTA - S. VITTORE
151460000328;Milano;172;95;0;0;1;7;MAGENTA - S. VITTORE
151460000329;Milano;219;107;0;0;0;12;MAGENTA - S. VITTORE
151460000330;Milano;161;76;0;0;0;4;MAGENTA - S. VITTORE
151460000331;Milano;162;70;0;0;0;3;MAGENTA - S. VITTORE
151460000332;Milano;274;152;0;0;0;10;MAGENTA - S. VITTORE
151460000333;Milano;25;15;0;0;0;1;MAGENTA - S. VITTORE
151460000334;Milano;158;77;0;0;0;7;MAGENTA - S. VITTORE
151460000335;Milano;30;15;0;0;0;1;MAGENTA - S. VITTORE
151460000336;Milano;153;77;0;0;0;7;MAGENTA - S. VITTORE
151460000337;Milano;64;33;0;0;0;1;MAGENTA - S. VITTORE
151460000338;Milano;44;22;0;0;1;3;MAGENTA - S. VITTORE
151460000339;Milano;175;82;0;0;1;4;MAGENTA - S. VITTORE
151460000340;Milano;469;216;0;0;0;17;MAGENTA - S. VITTORE
151460000341;Milano;0;0;0;0;0;0;DUOMO
151460000342;Milano;246;122;0;0;0;9;MAGENTA - S. VITTORE
151460000343;Milano;178;86;0;1;0;5;MAGENTA - S. VITTORE
151460000344;Milano;265;129;0;0;0;9;MAGENTA - S. VITTORE
151460000345;Milano;152;74;0;1;0;7;MAGENTA - S. VITTORE
151460000346;Milano;120;57;0;0;0;6;MAGENTA - S. VITTORE
151460000347;Milano;174;93;0;0;0;11;MAGENTA - S. VITTORE
151460000348;Milano;206;102;0;0;0;10;MAGENTA - S. VITTORE
151460000349;Milano;229;114;0;0;1;8;MAGENTA - S. VITTORE
151460000350;Milano;237;129;1;0;0;6;MAGENTA - S. VITTORE
151460000351;Milano;263;121;0;0;0;8;MAGENTA - S. VITTORE
151460000352;Milano;219;103;2;0;1;7;MAGENTA - S. VITTORE
151460000353;Milano;220;112;1;0;0;10;MAGENTA - S. VITTORE
151460000354;Milano;0;0;0;0;0;0;MAGENTA - S. VITTORE
151460000355;Milano;275;104;0;0;0;6;MAGENTA - S. VITTORE
151460000356;Milano;0;0;0;0;0;0;MAGENTA - S. VITTORE
151460000357;Milano;8;8;0;1;0;0;MAGENTA - S. VITTORE
151460000358;Milano;23;6;0;0;0;1;MAGENTA - S. VITTORE
151460000359;Milano;137;55;0;0;0;3;MAGENTA - S. VITTORE
151460000360;Milano;86;76;0;0;1;0;MAGENTA - S. VITTORE
151460000361;Milano;14;7;0;1;0;0;MAGENTA - S. VITTORE
151460000362;Milano;102;53;0;0;2;3;MAGENTA - S. VITTORE
151460000363;Milano;345;145;2;2;2;6;MAGENTA - S. VITTORE
151460000364;Milano;4;1;0;1;0;0;MAGENTA - S. VITTORE
151460000365;Milano;154;84;2;0;2;5;MAGENTA - S. VITTORE
151460000366;Milano;256;119;0;1;0;10;MAGENTA - S. VITTORE
151460000367;Milano;184;87;0;0;0;7;MAGENTA - S. VITTORE
151460000368;Milano;139;73;0;0;1;8;MAGENTA - S. VITTORE
151460000369;Milano;153;67;0;0;0;8;MAGENTA - S. VITTORE
151460000370;Milano;90;42;0;0;0;4;MAGENTA - S. VITTORE
151460000371;Milano;118;62;0;0;0;8;MAGENTA - S. VITTORE
151460000372;Milano;223;111;1;0;2;12;MAGENTA - S. VITTORE
151460000373;Milano;99;45;0;0;0;8;MAGENTA - S. VITTORE
151460000374;Milano;133;58;0;0;1;12;MAGENTA - S. VITTORE
151460000375;Milano;150;67;1;0;0;5;MAGENTA - S. VITTORE
151460000376;Milano;152;76;0;1;0;6;MAGENTA - S. VITTORE
151460000377;Milano;386;163;0;0;0;9;MAGENTA - S. VITTORE
151460000378;Milano;281;121;0;1;0;7;MAGENTA - S. VITTORE
151460000379;Milano;83;37;0;1;0;4;MAGENTA - S. VITTORE
151460000380;Milano;353;147;3;3;0;17;MAGENTA - S. VITTORE
151460000381;Milano;418;182;0;3;3;19;MAGENTA - S. VITTORE
151460000382;Milano;7;3;0;0;1;0;MAGENTA - S. VITTORE
151460000383;Milano;131;58;0;4;0;4;MAGENTA - S. VITTORE
151460000384;Milano;239;118;0;0;1;20;MAGENTA - S. VITTORE
151460000385;Milano;388;159;0;2;2;24;MAGENTA - S. VITTORE
151460000386;Milano;35;20;0;1;2;1;BRERA
151460000387;Milano;2;0;0;1;0;0;BRERA
151460000388;Milano;188;90;0;1;0;15;MAGENTA - S. VITTORE
151460000389;Milano;23;13;0;0;1;0;BRERA
151460000390;Milano;74;35;0;0;0;1;MAGENTA - S. VITTORE
151460000391;Milano;119;49;0;0;0;8;MAGENTA - S. VITTORE
151460000392;Milano;144;64;0;0;0;7;MAGENTA - S. VITTORE
151460000393;Milano;220;104;0;0;0;4;MAGENTA - S. VITTORE
151460000394;Milano;267;125;0;2;0;11;MAGENTA - S. VITTORE
151460000395;Milano;187;100;1;0;0;7;MAGENTA - S. VITTORE
151460000396;Milano;64;26;0;0;0;3;MAGENTA - S. VITTORE
151460000397;Milano;87;33;0;0;0;4;MAGENTA - S. VITTORE
151460000398;Milano;17;11;0;1;2;1;MAGENTA - S. VITTORE
151460000399;Milano;15;7;0;0;0;2;MAGENTA - S. VITTORE
151460000400;Milano;8;2;0;1;2;1;MAGENTA - S. VITTORE
151460000401;Milano;233;114;1;0;0;11;MAGENTA - S. VITTORE
151460000402;Milano;193;93;1;0;1;8;MAGENTA - S. VITTORE
151460000403;Milano;5;2;0;1;0;0;MAGENTA - S. VITTORE
151460000404;Milano;12;5;0;0;1;0;MAGENTA - S. VITTORE
151460000405;Milano;198;98;0;0;0;5;MAGENTA - S. VITTORE
151460000406;Milano;0;0;0;0;0;0;MAGENTA - S. VITTORE
151460000407;Milano;14;5;0;0;1;0;MAGENTA - S. VITTORE
151460000408;Milano;104;39;0;0;1;0;MAGENTA - S. VITTORE
151460000409;Milano;188;87;0;0;0;7;MAGENTA - S. VITTORE
151460000410;Milano;208;96;0;1;0;7;MAGENTA - S. VITTORE
151460000411;Milano;6;3;0;0;0;1;MAGENTA - S. VITTORE
151460000412;Milano;3;2;0;0;0;1;MAGENTA - S. VITTORE
151460000413;Milano;9;4;0;0;1;1;MAGENTA - S. VITTORE
151460000414;Milano;14;4;0;1;0;1;MAGENTA - S. VITTORE
151460000415;Milano;88;42;0;1;1;5;MAGENTA - S. VITTORE
151460000416;Milano;3;2;1;0;0;3;MAGENTA - S. VITTORE
151460000417;Milano;11;4;0;1;0;1;MAGENTA - S. VITTORE
151460000418;Milano;78;38;0;0;0;4;MAGENTA - S. VITTORE
151460000419;Milano;244;113;1;0;1;11;MAGENTA - S. VITTORE
151460000420;Milano;210;93;2;0;0;10;MAGENTA - S. VITTORE
151460000421;Milano;205;94;2;0;0;7;MAGENTA - S. VITTORE
151460000422;Milano;303;136;0;0;0;12;MAGENTA - S. VITTORE
151460000423;Milano;363;167;1;0;0;14;MAGENTA - S.VITTORE
151460000424;Milano;124;55;1;0;0;6;MAGENTA - S. VITTORE
151460000425;Milano;0;0;0;0;0;0;MAGENTA - S. VITTORE
151460000426;Milano;3;1;0;1;0;0;PARCO SEMPIONE
151460000427;Milano;0;0;0;0;0;0;PARCO SEMPIONE
151460000428;Milano;74;37;0;0;0;1;BRERA
151460000429;Milano;0;0;0;0;0;0;PARCO SEMPIONE
151460000430;Milano;422;200;1;1;0;16;BRERA
151460000431;Milano;92;44;0;0;0;3;BRERA
151460000432;Milano;299;128;0;0;0;11;BRERA
151460000433;Milano;25;12;0;1;0;2;BRERA
151460000434;Milano;67;31;0;0;0;1;BRERA
151460000435;Milano;242;110;0;1;3;13;BRERA
151460000436;Milano;94;38;0;1;0;4;BRERA
151460000437;Milano;216;99;0;0;0;5;BRERA
151460000438;Milano;255;122;0;0;2;11;BRERA
151460000439;Milano;492;265;1;0;0;12;BRERA
151460000440;Milano;27;12;0;0;0;1;BRERA
151460000441;Milano;304;126;1;2;0;16;BRERA
151460000442;Milano;77;37;0;0;0;2;BRERA
151460000443;Milano;217;95;1;1;0;7;BRERA
151460000444;Milano;90;44;0;1;0;3;BRERA
151460000445;Milano;0;0;0;0;0;0;BRERA
151460000446;Milano;120;64;0;1;0;4;BRERA
151460000447;Milano;0;0;0;0;0;0;BRERA
151460000448;Milano;479;225;0;0;0;9;BRERA
151460000449;Milano;53;33;0;0;1;1;BRERA
151460000450;Milano;58;26;0;0;0;3;BRERA
151460000451;Milano;149;71;2;0;0;5;BRERA
151460000452;Milano;171;81;0;0;0;6;BRERA
151460000453;Milano;525;179;0;0;0;13;BRERA
151460000454;Milano;67;37;0;0;0;2;BRERA
151460000455;Milano;243;92;0;0;0;9;BRERA
151460000456;Milano;105;40;0;0;1;3;BRERA
151460000457;Milano;0;0;0;0;0;0;BRERA
151460000458;Milano;266;121;0;1;0;10;BRERA
151460000459;Milano;94;33;0;0;0;2;BRERA
151460000460;Milano;143;67;0;0;1;4;BRERA
151460000461;Milano;296;159;0;0;0;8;BRERA
151460000462;Milano;221;128;0;0;0;6;BRERA
151460000463;Milano;279;124;1;0;2;8;BRERA
151460000464;Milano;244;115;1;6;0;9;BRERA
151460000465;Milano;344;173;0;1;0;18;BRERA
151460000466;Milano;33;15;0;0;0;2;BRERA
151460000467;Milano;249;126;2;0;1;12;BRERA
151460000468;Milano;203;97;0;0;2;4;BRERA
151460000469;Milano;241;100;0;1;2;7;BRERA
151460000470;Milano;18;8;0;0;1;0;BRERA
151460000471;Milano;293;163;0;0;0;13;BRERA
151460000472;Milano;15;7;1;0;0;1;BRERA
151460000473;Milano;405;188;0;0;0;16;BRERA
151460000474;Milano;514;260;0;0;1;14;BRERA
151460000475;Milano;11;4;0;0;0;4;BRERA
151460000476;Milano;113;39;0;0;0;3;BRERA
151460000477;Milano;107;51;0;0;0;7;BRERA
151460000478;Milano;103;53;0;0;0;4;BRERA
151460000479;Milano;82;43;0;1;1;4;BRERA
151460000480;Milano;129;69;0;0;0;4;BRERA
151460000481;Milano;0;0;0;0;0;0;BRERA
151460000482;Milano;468;195;0;1;1;5;BRERA
